CSV File,Question,Answer
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,Where will lecture-style presentations for the IEEE GLOBECOM 2023 Symposia be held?,In theatre-style meeting rooms.
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,How long is each lecture-style presentation allocated?,"18 minutes each (15 minutes of presentation time, plus 3 minutes for Q&A and change of speaker)."
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,What denotes Lecture Sessions in the Technical Program?,"By the Symposium acronym followed by a sequence number (e.g., CISS 1)."
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,What facilities will be available in the session room for lecture-style presentations?,"A laptop, projector, screen, PowerPoint and Office software, Acrobat Reader, and a clicker/pointer."
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,What are the guidelines for preparing a lecture-style presentation?,"Prepare slides in a concise, clear, and precise manner; present key principles, facts, and results."
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,Where are Interactive Sessions for IEEE GLOBECOM 2023 Symposia scheduled?,In open space (Grand Ballroom level 3) on LED TV screens.
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,How long are Interactive Sessions scheduled?,45-minute time slots.
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,What format should be used for presentations during Interactive Sessions?,On your own laptop connected to the LED screen (HDMI).
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,What should always be visible on the screen during Interactive Sessions?,Paper title and list of authors with affiliations.
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,Do Workshop presenters at IEEE GLOBECOM 2023 need to adhere to the same guidelines as lecture-style presentations?,"Yes, they are required to adhere to the same guidelines."
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,Where can Workshop presenters find specific guidelines regarding presentation timing?,From the appropriate workshop organizers.
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,Is it mandatory to register and pay in full for the conference before uploading the final paper?,Yes
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,What is the maximum number of final workshop papers that can be uploaded with one workshop registration?,Three
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,Who is allowed to use the registration confirmation code for paper submission?,The registrant who is an author or co-author of the paper
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,Where should the final paper be formatted for submission?,In the IEEE double-column format using IEEE Conference Proceeding templates
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,How should the first line in a LaTeX source file be formatted for IEEEtran class?,"\documentclass[10pt,conference]{IEEEtran}"
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,What is the necessity of checking if your PDF file is Xplore-compliant?,To ensure it meets the formatting requirements for IEEE Xplore
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,How can you submit your IEEE electronic copyright form?,"By clicking ""Submit Copyright"" within your author account"
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,What is the conference ID to be used when creating an IEEE PDF eXpress account?,58843X
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,Is violation of the registration confirmation code rule considered a serious offense?,Yes
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,What should be done after registering and paying for the conference?,Prepare and upload the final paper
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,What format should not be added to the final paper?,"No page numbering, header, or footer"
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,What is the purpose of the IEEE PDF eXpress website?,To check and convert files into IEEE Xplore-compliant PDFs
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,What are the requirements for uploading the final paper?,Registration confirmation code and EDAS ID
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,What type of file should be uploaded for the final paper submission?,PDF generated by the IEEE PDF eXpress website
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,What action should not be taken in PDF eXpress for the final paper?,Do NOT use 'Approve for collection'
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,Which conference proceedings is the final paper being prepared for?,GLOBECOM 2023
question_answer_v2\Author_instructions For Workshop Final Paper Upload.csv,What might happen if a paper is not presented at the conference?,It may be excluded from IEEE Xplore
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What is the role of Nordin Ramli in the Industrial Forum & Exhibition?,Co-Chair
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which organization is Nordin Ramli affiliated with in the Industrial Forum & Exhibition?,"MIMOS, Malaysia"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,"Who is the Co-Chair from IST - University Lisbon, Portugal for the Industrial Forum & Exhibition?",Luis M. Correia
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What position does Zhisheng Niu hold in the Industry Panel Program?,Co-Chair
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which university is Zhisheng Niu associated with in the Industrial Forum & Exhibition?,"Tsinghua University, China"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Who is a Co-Chair from the USA for the Industry Panel Program?,Kamran Sayrafian
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which organization does Kamran Sayrafian represent in the Industry Panel Program?,"NIST, USA"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Who represents Germany as a Co-Chair in the Industry Panel Program?,Bosco Fernandes
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Who is the Co-Chair from Telekom Malaysia for the Industry Panel Program?,Anwar Faizd Osman
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Who are the Co-Chairs for the Podium Pitches and Industry Presentations?,Mohd Fais Mansor and Bernard Lim
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which university is Mohd Fais Mansor affiliated with in the Industry Panel Program?,"Universiti Kebangsaan, Malaysia"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Where does Bernard Lim work ?,"Appscard Global Research & Innovation Center, Malaysia"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What is the nationality of Nordin Ramli?,Malaysian
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which country does Luis M. Correia represent in the Industrial Forum & Exhibition?,Portugal
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Where is Kamran Sayrafian from?,USA
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What organization is Anwar Faizd Osman associated with in Malaysia?,Telekom Malaysia
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What is Mohd Fais Mansor's role in the Podium Pitches and Industry Presentations?,Co-Chair
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Where is Bernard Lim's organization based?,Malaysia
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,"What is the common role of Nordin Ramli, Zhisheng Niu, and Mohd Fais Mansor?",Co-Chairs in different sections of the event
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which panel does Luis M. Correia co-chair?,Industrial Forum & Exhibition
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Is there a representative from Germany in the Industry Panel Program Co-Chairs?,"Yes, Bosco Fernandes"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which university is associated with Luis M. Correia?,"IST - University Lisbon, Portugal"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What is the role of Kamran Sayrafian at NIST?,Industry Panel Program Co-Chair
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Who is a representative from Malaysia in the Industry Panel Program?,Anwar Faizd Osman
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which organization does Mohd Fais Mansor represent?,"Universiti Kebangsaan, Malaysia"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Where is Appscard Global Research & Innovation Center located?,Malaysia
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Who co-chairs the Industry Panel Program with Zhisheng Niu?,"Kamran Sayrafian, Bosco Fernandes, Anwar Faizd Osman"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Is there a representative from China in the Industry Panel Program Co-Chairs?,"Yes, Zhisheng Niu"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What is the role of Bernard Lim in the industry presentations?,Co-Chair
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which organization is Nordin Ramli a part of?,"MIMOS, Malaysia"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What is the role of Anwar Faizd Osman at Telekom Malaysia?,Industry Panel Program Co-Chair
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which event is Luis M. Correia associated with as a Co-Chair?,Industrial Forum & Exhibition
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What event is Nordin Ramli co-chairing?,Industrial Forum & Exhibition
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,"Where is MIMOS, the organization Nordin Ramli is affiliated with, located?",Malaysia
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What academic institution is Zhisheng Niu associated with?,"Tsinghua University, China"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What is the national origin of Bosco Fernandes?,Germany
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,"What type of organization is Telekom Malaysia, represented by Anwar Faizd Osman?",Telecommunications
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,"What is the field of study at Universiti Kebangsaan, where Mohd Fais Mansor works?",Unspecified
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Who are the Co-Chairs of the Industry Panel Program from the USA and Germany?,Kamran Sayrafian and Bosco Fernandes
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Which organization in the USA is Kamran Sayrafian a part of?,NIST
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,Who are all the Co-Chairs from Malaysia?,"Nordin Ramli, Anwar Faizd Osman, Mohd Fais Mansor, Bernard Lim"
question_answer_v2\Committee_Industry Forums And Exhibition Committee.csv,What type of event is the Industrial Forum & Exhibition?,Professional Conference and Exhibition
question_answer_v2\Committee_Organizing Committee.csv,Who is the General Chair of the conference in organizing committee?,"Khaled B. Letaief from Hong Kong University of Science and Technology, Hong Kong"
question_answer_v2\Committee_Organizing Committee.csv,Who are the Executive Co-Chairs in organizing committee ?,"Borhanuddin Mohd Ali from Universiti Putra Malaysia, Malaysia and Hikmet Sari from Nanjing University of Posts and Telecommunications, China"
question_answer_v2\Committee_Organizing Committee.csv,Who are the Technical Program Co-Chairs in organizing committee ?,"Stefano Bregni from Politecnico di Milano, Italy, Rose Qingyang Hu from Utah State University, USA, and Jiang (Linda) Xie from University of North Carolina at Charlotte, USA"
question_answer_v2\Committee_Organizing Committee.csv,Who are the Industrial Forum & Exhibition Co-Chairs in organizing committee ?,"Nordin Ramli from MIMOS, Malaysia and Luis M. Correia from IST - University Lisbon, Portugal"
question_answer_v2\Committee_Organizing Committee.csv,Who is the Senior Advisor for the event in organizing committee ?,"Datuk Hod Parman from TS Global Network Sdn. Bhd., Malaysia"
question_answer_v2\Committee_Organizing Committee.csv,Who holds the position of Local Operations Chair in organizing committee ?,"Fazirulhisyam Hashim from Universiti Putra Malaysia, Malaysia"
question_answer_v2\Committee_Organizing Committee.csv,Who is the Finance Chair in organizing committee ?,"Tiong Sieh Kiong from Universiti Tenaga Nasional, Malaysia"
question_answer_v2\Committee_Organizing Committee.csv,Who is the Web & Social Media Chair in organizing committee ?,"Khairil Anuar from Multimedia University, Malaysia"
question_answer_v2\Committee_Organizing Committee.csv,Who are the Publicity Co-Chairs and what regions do they represent in organizing committee ?,"AP: Hyunbum Kim from Incheon National University, South Korea, EMEA: Ranga Rao Venkatesha Prasad from Tu Delft, Netherlands, NA/EMEA: Eirini Eleni Tsiropoulou from University of New Mexico, USA, NA: Telex Ngatched from Memorial University of Newfoundland, Canada, LA: Yessica Saez from Universidad Tecnol?gica de Panam?, Panama"
question_answer_v2\Committee_Organizing Committee.csv,Who are the Patronage Co-Chairs in organizing committee ?,"Matti Latva-aho from University Oulu, Finland and Azwan Mahmud from Multimedia University, Malaysia"
question_answer_v2\Committee_Organizing Committee.csv,Who is the GIMS Advisor in organizing committee ?,Dong In Kim from Sungkyunkwan University (SKKU)
question_answer_v2\Committee_Organizing Committee.csv,Who is the GITC Advisor in organizing committee ?,"Hossam Hassanein from Queen's University, Kingston, Ontario, Canada"
question_answer_v2\Committee_Organizing Committee.csv,Who is the ComSoc Treasurer in organizing committee ?,"Bruce Worthman, IEEE ComSoc Staff, Director of Finance and Business Operations"
question_answer_v2\Committee_Organizing Committee.csv,Who is the ComSoc Project Manager in organizing committee ?,"Jimmy Le, IEEE ComSoc Staff, Senior Conference Planner"
question_answer_v2\Committee_Technical Program Committee.csv,Who are the Technical Program Co-Chairs in committee?,"Stefano Bregni, Politecnico di Milano, Italy
Rose Qingyang Hu, Utah State University, USA
Jiang (Linda) Xie, University of North Carolina at Charlotte, USA"
question_answer_v2\Committee_Technical Program Committee.csv,Who are the Tutorial Program Co-Chairs in committee?,"Octavia Dobre, Memorial University, Canada"
question_answer_v2\Committee_Technical Program Committee.csv,Who are the Workshop Program Co-Chairs in committee?,"Christos Verikoukis, University of Patras, Greece"
question_answer_v2\Committee_Technical Program Committee.csv,Who are the Publication Co-Chairs in committee?,"Mutlu Koca, Bogazi?i University, Turkey
Mahamod Ismail, Universiti Kebangsaan, Malaysia
George Rouskas, North Carolina State University, USA"
question_answer_v2\Committee_Technical Program Committee.csv,Who are the Student Travel Grant Co-Chairs in committee?,"Zhu Han, University of Houston, TX, USA"
question_answer_v2\Hotel_child Care Grant.csv,Who is eligible for the IEEE ComSoc childcare grants?,IEEE ComSoc members attending Globecom with small children.
question_answer_v2\Hotel_child Care Grant.csv,How much is the childcare grant provided by IEEE ComSoc?,Up to US$500 per family.
question_answer_v2\Hotel_child Care Grant.csv,What is the purpose of the IEEE ComSoc childcare grants?,To reimburse expenses for childcare due to conference attendance.
question_answer_v2\Hotel_child Care Grant.csv,Are attendees responsible for their own childcare arrangements?,"Yes, attendees must make their own childcare arrangements."
question_answer_v2\Hotel_child Care Grant.csv,What expenses are covered by the childcare grant?,Child care services incurred because of attendance at the conference.
question_answer_v2\Hotel_child Care Grant.csv,Are childcare services in the conference city reimbursable?,"Yes, if incurred due to conference attendance."
question_answer_v2\Hotel_child Care Grant.csv,Are travel expenses for the child covered?,"No, travel expenses for the child are not eligible for reimbursement."
question_answer_v2\Hotel_child Care Grant.csv,Are expenses for a caregiver's travel and stay covered?,"No, these expenses are not eligible for reimbursement."
question_answer_v2\Hotel_child Care Grant.csv,Is ongoing reimbursement available for childcare expenses for home-based care?,"No, these are not eligible for reimbursement."
question_answer_v2\Hotel_child Care Grant.csv,What is required for reimbursement of childcare expenses?,Submission of receipts for reimbursable expenses.
question_answer_v2\Hotel_child Care Grant.csv,What is the deadline for applying for a childcare grant?,15 November 2023.
question_answer_v2\Hotel_child Care Grant.csv,When will grant recipients be notified?,No later than 21 November 2023.
question_answer_v2\Hotel_child Care Grant.csv,Are children allowed in session rooms at the conference?,"No, children are not permitted entry into session rooms."
question_answer_v2\Hotel_child Care Grant.csv,Are children allowed on the Exhibit Hall floor during setup or dismantling hours?,"No, except during scheduled show hours with a completed Minor Release Form."
question_answer_v2\Hotel_child Care Grant.csv,Where can the Minor Release Form be obtained?,At the Registration Desk in the Registration Area.
question_answer_v2\Hotel_hotels.csv,What is the main conference hotel for IEEE Globecom 2023?,The Grand Hyatt Kuala Lumpur.
question_answer_v2\Hotel_hotels.csv,What are some unique features of the Grand Hyatt Kuala Lumpur?,It has the Thirty8 restaurant on the 38th floor with panoramic city views and a striking lobby on the 40th floor.
question_answer_v2\Hotel_hotels.csv,How close is the Grand Hyatt to the Kuala Lumpur Convention Centre?,It is adjacent to the Convention Centre.
question_answer_v2\Hotel_hotels.csv,What is the advantage of the Grand Hyatt's location in Kuala Lumpur?,"It is within walking distance of the Golden Triangle, offering easy access to shopping, dining, and entertainment."
question_answer_v2\Hotel_hotels.csv,What is the distance of the Mandarin Oriental Kuala Lumpur from the convention center?,0.2 km
question_answer_v2\Hotel_hotels.csv,What is the distance of the Traders Hotel from the convention center?,0.3 km
question_answer_v2\Hotel_hotels.csv,What is the distance of the Impiana KLCC Hotel from the convention center?,0.3 km
question_answer_v2\Hotel_hotels.csv,What is the distance of the Renaissance Kuala Lumpur Hotel from the convention center?,0.5 km
question_answer_v2\Hotel_hotels.csv,What is the distance of the Shangri-La Hotel from the convention center?,0.5 km
question_answer_v2\Hotel_hotels.csv,What is the distance of the Prince Hotel & Residence Kuala Lumpur from the convention center?,0.6 km
question_answer_v2\Hotel_hotels.csv,What is the distance of The Westin Kuala Lumpur from the convention center?,0.7 km
question_answer_v2\Hotel_hotels.csv,What is the distance of the JW Marriott Kuala Lumpur from the convention center?,0.7 km
question_answer_v2\Hotel_hotels.csv,What is the distance of the Pacific Regency Hotel Suites from the convention center?,1.0 km
question_answer_v2\Hotel_hotels.csv,"What is the distance of The Ritz-Carlton, Kuala Lumpur from the convention center?",0.7 km
question_answer_v2\Hotel_kuala Lumpur Convention Centre.csv,What event is being hosted at the Kuala Lumpur Convention Centre?,IEEE Globecom 2023.
question_answer_v2\Hotel_kuala Lumpur Convention Centre.csv,What makes the Kuala Lumpur Convention Centre an ideal venue for this event?,"It is Malaysia's foremost facility for hosting large-scale meetings and conventions, with grand halls and well-appointed meeting rooms."
question_answer_v2\Hotel_kuala Lumpur Convention Centre.csv,What is a key feature of the KL Convention Centre's location?,"It is set in the heart of Kuala Lumpur, overlooking the PETRONAS Twin Towers and KLCC Park."
question_answer_v2\Hotel_kuala Lumpur Convention Centre.csv,How does the location of KL Convention Centre enhance the conference experience?,"It offers opportunities for post-conference leisure and networking, including exploring the city and indulging in shopping and dining."
question_answer_v2\Hotel_kuala Lumpur Convention Centre.csv,What facilities does the Kuala Lumpur Convention Centre offer for the conference?,"Grand halls for large-scale sessions, versatile meeting rooms for discussions and workshops, equipped with cutting-edge technology."
question_answer_v2\Hotel_kuala Lumpur Convention Centre.csv,What kind of support does KL Convention Centre provide?,Professional and responsive staff to ensure a seamless conference experience.
question_answer_v2\Hotel_kuala Lumpur Convention Centre.csv,What are the benefits of KL Convention Centre's location within Kuala Lumpur City Centre?,"Easy access to major hotels, shopping centers, public transportation, and local amenities."
question_answer_v2\Hotel_kuala Lumpur Convention Centre.csv,What does the choice of Kuala Lumpur Convention Centre signify for the IEEE Globecom 2023?,"A commitment to delivering a remarkable conference experience with flexible spaces, advanced technology, and exceptional service."
question_answer_v2\Hotel_kuala Lumpur.csv,What is Malaysia known for?,"Malaysia is known for its breathtaking diversity, captivating contrasts, vibrant cityscapes, lush rainforests, pristine beaches, cultural experiences, delectable cuisine, and stunning natural beauty."
question_answer_v2\Hotel_kuala Lumpur.csv,Where is Malaysia located?,Malaysia is located in the heart of Southeast Asia.
question_answer_v2\Hotel_kuala Lumpur.csv,What is the capital of Malaysia?,The capital of Malaysia is Kuala Lumpur.
question_answer_v2\Hotel_kuala Lumpur.csv,What are the main features of Kuala Lumpur's cityscape?,"Kuala Lumpur's cityscape includes gleaming skyscrapers, colonial architecture, the Petronas Twin Towers, Petaling Street flea market, and Batu Caves."
question_answer_v2\Hotel_kuala Lumpur.csv,What is the main hub of Kuala Lumpur known as?,The main hub of Kuala Lumpur is called the Golden Triangle.
question_answer_v2\Hotel_kuala Lumpur.csv,What are some of the biggest attractions in Kuala Lumpur for shopping enthusiasts?,The biggest attractions for shopping in Kuala Lumpur are expansive shopping malls like Pavilion KL and Suria KLCC.
question_answer_v2\Hotel_kuala Lumpur.csv,What makes Kuala Lumpur a favorite city for foodies?,"Kuala Lumpur's thousands of hawker stalls, cafes, and restaurants serving every type of delicacy make it a favorite for foodies."
question_answer_v2\Hotel_kuala Lumpur.csv,What are some popular Malaysian dishes?,"Popular Malaysian dishes include Nasi Lemak, Rendang, Char Kway Teow, Roti Canai, and Hainanese Chicken Rice."
question_answer_v2\Hotel_kuala Lumpur.csv,What natural attractions does Malaysia offer?,"Malaysia offers lush rainforests, pristine beaches, vibrant marine life, Langkawi Island, and Mount Kinabalu."
question_answer_v2\Hotel_kuala Lumpur.csv,What are the main cultural influences in Malaysia?,"The main cultural influences in Malaysia are Malay, Chinese, Indian, and indigenous cultures."
question_answer_v2\Hotel_kuala Lumpur.csv,Which festivals are celebrated in Malaysia?,"Festivals celebrated in Malaysia include Hari Raya, Chinese New Year, and Deepavali."
question_answer_v2\Hotel_kuala Lumpur.csv,What phrase reflects the warm hospitality of Malaysians?,"The phrase 'Selamat Datang,' meaning 'Welcome,' reflects the warm hospitality of Malaysians."
question_answer_v2\Hotel_kuala Lumpur.csv,What landmark in Kuala Lumpur is known for its sky bridge and observation deck?,The Petronas Twin Towers are known for their sky bridge and observation deck.
question_answer_v2\Hotel_kuala Lumpur.csv,What is special about Batu Caves in Kuala Lumpur?,Batu Caves are special for housing Hindu temples within ancient limestone caves that are over 400 million years old.
question_answer_v2\Hotel_kuala Lumpur.csv,Which areas constitute the Golden Triangle in Kuala Lumpur?,"The Golden Triangle in Kuala Lumpur comprises Bukit Bintang, KLCC, and Chinatown."
question_answer_v2\Hotel_kuala Lumpur.csv,Where can one find green spaces and natural attractions near Kuala Lumpur?,"Near Kuala Lumpur, one can find green spaces and natural attractions in lush forested hills with hiking trails leading to waterfalls."
question_answer_v2\Hotel_kuala Lumpur.csv,What types of cuisines influence Malaysian food?,"Malaysian food is influenced by Malay, Chinese, Indian, and Nyonya cuisines."
question_answer_v2\Hotel_kuala Lumpur.csv,What are some other cultural attractions in Kuala Lumpur?,Other cultural attractions in Kuala Lumpur include the historic Sultan Abdul Samad Building and the National Mosque with stunning Islamic architecture.
question_answer_v2\Hotel_kuala Lumpur.csv,What are some features of Langkawi Island?,"Langkawi Island features stunning beaches, mangrove forests, and vibrant underwater worlds for snorkeling and diving."
question_answer_v2\Hotel_kuala Lumpur.csv,What is significant about Mount Kinabalu?,"Mount Kinabalu is significant for being Southeast Asia's highest peak, attracting trekkers."
question_answer_v2\Hotel_local Attractions.csv,What are the Petronas Twin Towers known for?,"Symbol of Kuala Lumpur's modernity and ambition, with impressive architecture and panoramic city views."
question_answer_v2\Hotel_local Attractions.csv,What facilities are adjacent to the Petronas Twin Towers?,Suria KLCC mall and KLCC Park with a wading pool and dancing fountains.
question_answer_v2\Hotel_local Attractions.csv,What is the Kuala Lumpur Tower?,A telecommunications tower offering panoramic views of the city and a revolving restaurant.
question_answer_v2\Hotel_local Attractions.csv,What is Bukit Bintang famous for?,"Shopping and entertainment district with retail shops, luxury malls, street markets, dining, and nightlife."
question_answer_v2\Hotel_local Attractions.csv,What can visitors experience at Batu Caves?,"Ancient limestone caverns, Hindu temples, a statue of Lord Murugan, and a rich tapestry of Hindu culture."
question_answer_v2\Hotel_local Attractions.csv,What is the Forest Research Institute Malaysia?,"A 600-hectare rainforest with nature trails, a canopy walkway, and a herbarium, focusing on tropical forest research and conservation."
question_answer_v2\Hotel_local Attractions.csv,What is the significance of the Sultan Abdul Samad Building?,"A historic landmark showcasing Moorish and Mughal architecture, symbolizing Malaysia's history and colonial past."
question_answer_v2\Hotel_local Attractions.csv,What is unique about Masjid Negara?,"The National Mosque of Malaysia with a 73-meter-tall minaret and a large dome, known for its Islamic architecture and tranquil gardens."
question_answer_v2\Hotel_local Attractions.csv,What attractions does the KL Bird Park offer?,"Lush aviaries, exotic avian species, bird conservation insights, a Hornbill Restaurant, and educational programs."
question_answer_v2\Hotel_transportations.csv,What are the main airports serving Kuala Lumpur?,Kuala Lumpur International Airport Terminal 1 (KLIA T1) and Kuala Lumpur International Airport Terminal 2 (KLIA T2).
question_answer_v2\Hotel_transportations.csv,What is the distance of KLIA T1 from Kuala Lumpur's city center?,Approximately 50 kilometers.
question_answer_v2\Hotel_transportations.csv,How far is KLIA T2 from KLIA T1?,2 kilometers.
question_answer_v2\Hotel_transportations.csv,What is KL Sentral?,"Malaysia's largest transportation hub, connecting to various rail networks."
question_answer_v2\Hotel_transportations.csv,What is the KLIA Ekspres?,A non-stop airport rail link service between KLIA T1 and Kuala Lumpur Sentral (KL Sentral).
question_answer_v2\Hotel_transportations.csv,How long does the KLIA Ekspres take from KLIA T1 to KL Sentral?,28 minutes.
question_answer_v2\Hotel_transportations.csv,How much does a one-way trip on the KLIA Ekspres cost?,MYR 55.
question_answer_v2\Hotel_transportations.csv,What are the taxi fare estimates from KLIA T1/KLIA T2 to KLCC?,"Budget Taxi: MYR 74.30, Premier Taxi: MYR 102.10."
question_answer_v2\Hotel_transportations.csv,What is the estimated journey time by taxi from KLIA to KLCC?,Approximately 50-60 minutes.
question_answer_v2\Hotel_transportations.csv,Is there a shuttle bus service from KLIA T1 and T2 to KL Sentral?,Yes.
question_answer_v2\Hotel_transportations.csv,What are the operating hours of the Light Rail Transit (LRT) in Kuala Lumpur?,0600 - 2400.
question_answer_v2\Hotel_transportations.csv,What is the route of the Kuala Lumpur Monorail system?,From Titiwangsa Station to KL Sentral Station.
question_answer_v2\Hotel_transportations.csv,What are the major city bus lines in Kuala Lumpur?,Rapid KL.
question_answer_v2\Hotel_transportations.csv,Do taxis in Kuala Lumpur hail at designated stands?,Yes.
question_answer_v2\Hotel_transportations.csv,Is an international driving license required for car rental in Kuala Lumpur?,Yes.
question_answer_v2\Hotel_transportations.csv,What are popular ride-hailing services in Kuala Lumpur?,Services like Grab.
question_answer_v2\Hotel_travel Information.csv,Where is Kuala Lumpur located?,Kuala Lumpur is located on the west coast of the Malaysian Peninsular between Thailand and Singapore.
question_answer_v2\Hotel_travel Information.csv,What are the essential travel documents for visiting Kuala Lumpur?,"Visitors need a valid passport and, in some cases, a visa for entry into Kuala Lumpur."
question_answer_v2\Hotel_travel Information.csv,What is the climate like in Kuala Lumpur?,"Kuala Lumpur has a tropical climate with little seasonal variation, temperatures typically range between 18C to 30C, with summer temperatures ranging from 25C to 42C and winter temperatures around 20C, dropping to 16C at night."
question_answer_v2\Hotel_travel Information.csv,What languages are spoken in Kuala Lumpur?,"The national language is Malay, but English is widely spoken, especially in hotels, restaurants, and tourist areas. Many Malaysians are also multilingual, speaking languages like Chinese and Tamil."
question_answer_v2\Hotel_travel Information.csv,What is the currency used in Kuala Lumpur?,"The currency used is the Malaysian Ringgit (MYR), with coins in denominations of 5, 10, 20, and 50 sen, and banknotes in RM1, RM5, RM10, RM20, RM50, RM100, and RM200."
question_answer_v2\Hotel_travel Information.csv,What are the general banking hours in Malaysia?,"Banking hours are usually from 9:30 am to 4:30 pm, Monday to Friday. Some banks are open on Saturdays."
question_answer_v2\Hotel_travel Information.csv,What public transportation options are available in Kuala Lumpur?,"Kuala Lumpur has the LRT, MRT, and Monorail, along with RapidKL buses for urban travel, and intercity trains and express buses for travel between cities. Taxis and ride-hailing services like Grab are also available."
question_answer_v2\Hotel_travel Information.csv,What time zone does Malaysia follow?,"Malaysia follows Malaysia Standard Time (MYT), which is UTC+8."
question_answer_v2\Hotel_travel Information.csv,What is the standard electrical voltage in Kuala Lumpur?,The standard voltage is 230-240 Volts at a frequency of 50 Hz. Rural areas may differ.
question_answer_v2\Hotel_travel Information.csv,How accessible is internet in Kuala Lumpur?,"High Speed Broadband is widely accessible in hotels, internet cafes, and shopping malls."
question_answer_v2\Hotel_travel Information.csv,What is the main conference hotel in Kuala Lumpur?,The Grand Hyatt is identified as the main conference hotel.
question_answer_v2\Hotel_visa Letter Request.csv,Who is eligible to receive a Visa Letter from IEEE ComSoc?,"Speakers, Authors, Committee Members, and Attendees who have paid in full."
question_answer_v2\Hotel_visa Letter Request.csv,What is the purpose of ComSoc issuing a Visa Letter?,Only for the conference.
question_answer_v2\Hotel_visa Letter Request.csv,What is the processing time for a Visa Letter request?,3-5 business days.
